,preposition,is_atomic,is_spatial,class,transitivity,synonyms,antonyms,hypernym,hyponym,meronym,holonym,supersense
,edge,TRUE,TRUE,,,,,,,,,
,end,TRUE,TRUE,,,,,,,,,
80,except,TRUE,TRUE,,,"demur, exclude, leave off, leave out, omit, take out",include,"do away with, eliminate, extinguish, get rid of, object",elide,,,PARTWHOLE
116,except for,FALSE,TRUE,,,,,,,,,PARTWHOLE
,face,TRUE,TRUE,,,,,,,,,
,far,TRUE,TRUE,,,,,,,,,
13,far from,FALSE,TRUE,,,,,,,,,
,flank,TRUE,TRUE,,,,,,,,,
75,following,FALSE,TRUE,,,"abide by, accompany, adopt, be, chase, come, come after, comply, conform to, espouse, fall out, follow, followers, keep abreast, keep an eye on, keep up, next, observe, play along, postdate, pursual, pursue, pursuit, stick to, stick with, succeed, surveil, survey, take after, trace, travel along, undermentioned, watch, watch over","precede,  leading,  predate","act, analyse, analyze, apply, arise, be, behave, canvas, canvass, check, check into, check out, check over, check up on, choose, copy, develop, do, ensue, examine, go, go over, grow, hang in, hang on, hoi polloi, hold on, imitate, locomote, look into, mass, masses, motion, move, movement, multitude, obey, originate, people, persevere, persist, pick out, play, practice, result, rise, select, simulate, spring up, study, suss out, take, the great unwashed, travel, understand, uprise, use","accede, accommodate, adhere, ascend, carry, chase, chase after, claque, conform to, cox, dawdle, dog, enter, faithful, fall back, fall behind, fandom, give chase, go after, go by, guard, haunt, heel, invigilate, keep tabs on, lag, oblige, proctor, replace, shadow, shadowing, stalk, stalking, stick, supercede, supersede, supervene upon, supplant, tag, tail, tailgate, tailing, toe the line, track, tracking, trail, trailing, vet","buff, devotee, fan, lover",,
,foot,TRUE,TRUE,,,,,,,,,
134,for,TRUE,TRUE,,,,,,,,,
107,for the sake of,FALSE,FALSE,,,,,,,,,
96,from,TRUE,TRUE,,,,,,,,,"LOCUS, SOURCE"
,from behind,FALSE,TRUE,,,,,,,,,
,from under,FALSE,TRUE,,,,,,,,,
,front,TRUE,TRUE,,,,,,,,,
,heart,TRUE,TRUE,,,,,,,,,
46,in,TRUE,TRUE,PARTICLE,,"Hoosier State, IN, In, Indiana, atomic number 49, inch, indium, inward, inwards",,"linear measure, linear unit, metal, metallic element",,"Bloomington, Evansville, Fort Wayne, Gary, Indianapolis, Lafayette, Muncie, South Bend, Wabash, Wabash River, capital of Indiana, em, ligne, mesh, mil, pica, pica em","America, Corn Belt, Midwest, U.S., U.S.A., US, USA, United States, United States of America, blende, foot, ft, middle west, midwestern United States, sphalerite, the States, zinc blende",
,in a higher place,FALSE,TRUE,,,,,,,,,
124,in accordance with,FALSE,FALSE,,,,,,,,,
4,in addition to,FALSE,TRUE,,,,,,,,,
109,in case of,FALSE,FALSE,,,,,,,,,
48,in front of,FALSE,TRUE,PROJECTIVE,,,,,,,,
56,in lieu of,FALSE,FALSE,,,,,,,,,
91,in place of,FALSE,TRUE,,,,,,,,,
93,in point of,FALSE,FALSE,,,,,,,,,
130,in spite of,FALSE,FALSE,,,,,,,,,"THEME, FORCE"
76,including,FALSE,FALSE,,,"admit, include, let in",exclude,"add, allow, consider, countenance, let, permit, reckon, regard, see, view","attach to, bear, carry, colligate, comprehend, comprise, contain, count, cover, embrace, encompass, hold, incorporate, induct, inhere in, initiate, involve, readmit, subsume",,,"PARTPORTION, CONFIGURATION"
108,inside,FALSE,TRUE,PROJECTIVE,,"at bottom, at heart, deep down, in spite of appearance, indoors, inner, interior, inwardly, privileged, within","outside,  outwardly,  outdoors","part, region, surface","belly, midland, midst, penetralia, thick",,,
38,inside of,FALSE,TRUE,,,,,,,,,
132,instead of,FALSE,FALSE,,,,,,,,,
35,into,FALSE,TRUE,,,,,,,,,
,left,TRUE,TRUE,PARTICLE,,,,,,,,
28,left of,FALSE,TRUE,,,,,,,,,
